Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
132;33;Del Giro;84439900-6;CONSTRUCTORA PACAL S A;6895;22-04-2021;22-04-2021 13:15;;;0;760000;144400;904400;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;75760290;;;;
133;33;Del Giro;61978970-9;INTENDENCIA REGIONAL DE ARICA Y PARINACOTA;6896;23-04-2021;23-04-2021 9:25;;;0;900000;171000;1071000;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;75760290;;;;
134;33;Del Giro;61978970-9;INTENDENCIA REGIONAL DE ARICA Y PARINACOTA;6897;23-04-2021;23-04-2021 9:29;;;0;1200000;228000;1428000;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;75760290;;;;
135;33;Del Giro;84439900-6;CONSTRUCTORA PACAL S A;6898;23-04-2021;23-04-2021 16:20;;;0;427500;81225;508725;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;75760290;;;;
136;33;Del Giro;96789870-8;CBRE CHILE S.A;6899;23-04-2021;23-04-2021 16:44;;;0;984000;186960;1170960;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;75760290;;;;
137;33;Del Giro;96789870-8;CBRE CHILE S.A;6900;23-04-2021;23-04-2021 16:48;;;0;130000;24700;154700;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;75760290;;;;
138;33;Del Giro;84439900-6;CONSTRUCTORA PACAL S A;6901;27-04-2021;27-04-2021 8:16;30-04-2021 16:15;;0;532000;101080;633080;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;75760290;;;;
139;33;Del Giro;96786880-9;SACYR CHILE S A;6902;27-04-2021;27-04-2021 12:09;;27-04-2021 20:45;0;912950;173461;1086411;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;75760290;;;;
140;33;Del Giro;96786880-9;SACYR CHILE S A;6903;27-04-2021;27-04-2021 12:13;;27-04-2021 20:45;0;1748000;332120;2080120;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;75760290;;;;
141;33;Del Giro;96786880-9;SACYR CHILE S A;6904;27-04-2021;27-04-2021 12:16;;27-04-2021 14:15;0;1510500;286995;1797495;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;75760290;;;;
142;33;Del Giro;86715400-0;GUZMAN Y LARRAIN VIVIENDAS ECONOMICAS SPA;6905;27-04-2021;27-04-2021 12:50;28-04-2021 16:46;;0;330000;62700;392700;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;75760290;;;;
143;33;Del Giro;96786880-9;SACYR CHILE S A;6906;28-04-2021;28-04-2021 16:22;;;0;912950;173461;1086411;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;75760290;;;;
144;33;Del Giro;96786880-9;SACYR CHILE S A;6907;28-04-2021;28-04-2021 16:26;;;0;1748000;332120;2080120;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;75760290;;;;
145;33;Del Giro;96786880-9;SACYR CHILE S A;6908;28-04-2021;28-04-2021 16:31;;;0;1510500;286995;1797495;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;75760290;;;;
146;33;Del Giro;76522031-9;SOCIEDAD DE INVERSIONES OCEANA LIMITADA;6909;30-04-2021;30-04-2021 8:28;;;0;73500;13965;87465;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;75760290;;;;
147;33;Del Giro;99567620-6;TERMINAL PUERTO ARICA S.A.;6911;30-04-2021;30-04-2021 12:03;;;0;252156;47910;300066;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;75760290;;;;
148;33;Del Giro;77149765-9;CONSTRUCTORA VICHUQUEN SUR SPA;6912;30-04-2021;30-04-2021 15:48;;;0;112500;21375;133875;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;75760290;;;;
149;33;Del Giro;77149765-9;CONSTRUCTORA VICHUQUEN SUR SPA;6913;30-04-2021;30-04-2021 15:51;;;0;450000;85500;535500;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;75760290;;;;
